,word,count
0,nhiều,1
1,đẩy_nhanh,1
2,y_tế,1
3,phạt_tù,1
4,nữ_sinh,1
5,thuê,1
6,Trung_Quốc,1
7,nhập_cảnh,1
8,trái_phép,1
9,Sài_Gòn,1
10,Đường,1
11,đường,1
12,bí_mật,1
13,khoản_vay,1
14,67000,1
15,toà,1
16,cặp_vợ_chồng,1
17,gian_lận,1
18,triệu,1
19,USD,1
20,cứu_trợ,1
21,Covid19,1
22,ngáo,1
23,đá,1
24,xông,1
25,vào,1
26,sẽ,1
27,cao,1
28,trả_lãi,1
29,phạm_tội,1
30,Nguyễn_Thành_Tài,1
31,tôi,1
32,không_phải,1
33,cơ_hội,1
34,ma_tuý,1
35,Hải_Dương,1
36,án_tử_hình,1
37,lãnh_án,1
38,chiếm_đoạt,1
39,tỷ,1
40,Suy_luận,1
41,âm_mưu,1
42,công_ty,1
43,tai_nạn_giao_thông,1
44,trả,1
45,túi,1
46,sữa,1
47,khiến,1
48,cảnh_sát,1
49,thay_đổi,1
50,kết_luận,1
51,khiêng,1
52,quan_tài,1
53,đến,1
54,con_nợ,1
55,bị_cáo,1
56,đề_nghị,1
57,ông,1
58,đe,1
59,nhân_viên,1
60,manh_mối,1
61,qua,1
62,hình,1
63,vẽ,1
64,hai,1
65,nghi,1
66,phạm,1
67,lừa,1
68,165,1
69,sang,1
70,Hàn_Quốc,1
71,vé_số,1
72,9,1
73,tên,1
74,đập,1
75,tủ,1
76,đựng,1
77,trang_sức,1
78,chứng_cứ,1
79,kêu_oan,1
80,bất_lợi,1
81,pháp_lý,1
82,ngoại_tình,1
83,tụ_tập,1
84,chơi,1
85,phát_hiện,1
86,Tinh_ý,1
87,bất_thường,1
88,nêu,1
89,Giam,1
90,lỏng,1
91,khách_hàng,1
92,không_dùng,1
93,dịch_vụ,1
94,thẩm_mỹ,1
95,Sài,1
96,Gòn,1
97,cán_bộ,1
98,lập,1
99,khống,1
100,công_trình,1
101,đọa,1
102,thuỷ_lợi,1
103,tấn_công,1
104,báo,1
105,điện_tử,1
106,VOV,1
107,mang_tiếng,1
108,ăn_tiền,1
109,trên,1
110,xác_chết,1
111,trương,1
112,Châu_Hữu_Danh,1
113,xin,1
114,giảm_án,1
115,thiếu_niên,1
116,trộm_cắp,1
117,biệt_thự,1
118,nhưng,1
119,thị_trường,1
120,Trần_Hùng,1
121,nhận,1
122,hối_lộ,1
123,chủ_tịch,1
124,TP,1
125,Trà_Vinh,1
126,hầu_toà,1
127,chém_chết,1
128,bênh,1
129,nâng_cấp,1
130,phó_quản_lý,1
131,tiếng,1
132,11,1
133,Âu_Mỹ,1
134,ngay,1
135,tại,1
136,tội_ác,1
137,ca_sĩ,1
138,thích,1
139,cạn,1
140,tình_phụ,1
141,tử,1
142,triệu_phú,1
143,anh,1
144,cục,1
145,tuyên_án,1
146,7,1
147,Hà_Nội,1
148,phải,1
149,làm_lại,1
150,căn_cước,1
151,công_dân,1
152,gắn,1
153,chíp,1
154,tìm,1
155,tội_phạm,1
156,từ,1
157,dấu_vết,1
158,hiện_trường,1
159,ngân_hàng,1
160,tham_ô,1
161,2600,1
162,đại_gia,1
163,Vũng_Tàu,1
164,đất,1
165,Nha_Trang,1
166,người_đàn_bà,1
167,dí,1
168,dao,1
169,quỹ,1
170,tín_dụng,1
171,phạt,1
172,hết_thời,1
173,lon,1
174,phiên_toà,1
175,bia,1
176,trả_tiền,1
177,giấu,1
178,tội,1
179,có,1
180,muộn,1
181,giáo_sư,1
182,kinh_tế,1
183,Màn,1
184,danh_tiếng,1
185,nộp_phạt,1
186,ngộ_nhận,1
187,tai_hại,1
188,người_đi_bộ,1
189,giam_lỏng,1
190,khách,1
191,chủ_quán,1
192,vi_phạm,1
193,25,1
194,kịch,1
195,hội_chứng,1
196,bế_tắc,1
197,thùng_rác,1
198,lãi,1
199,giúp,1
200,phá,1
201,cựu,2
202,chung_thân,2
203,câu_đố,2
204,15,2
205,ăn_chặn,2
206,tiền,2
207,20,2
208,hỏa,2
209,lượng,2
210,đốt,2
211,phụ_cấp_thâm_niên,2
212,tập_sự,2
213,thời_gian,2
214,cướp,2
215,giám_đốc,2
216,kẻ,2
217,sai_phạm,2
218,bị_bắt,2
219,xác,2
220,táng,2
221,cho,2
222,chủ_nợ,2
223,ba,2
224,Nhuệ,2
225,vụ_án,2
226,xét_xử,2
227,khai,2
228,phiên,2
229,với,2
230,rời,2
231,loạt,2
232,mẹ,2
233,bóng,2
234,nộp,2
235,khi,2
236,trận,2
237,sau,2
238,giao_thông,2
239,truy_sát,2
240,VKS,2
241,phản_đối,2
242,la_hét,2
243,cáo_buộc,2
244,hồ_sơ,2
245,tham_gia,2
246,nghèo,2
247,nữ,3
248,lĩnh,3
249,Đường_Nhuệ,3
250,tính,3
251,đồng,3
252,không,3
253,nhà,3
254,giáo_viên,3
255,điều_tra,3
256,8,3
257,vì,3
258,có_được,3
259,vàng,3
260,tù,3
261,vụ,4
262,luật_sư,4
263,ở,4
264,năm,4
265,bị,5
266,người,5
267,bà,6
268,của,6
269,Dương_Thị_Bạch_Diệp,7
270,trong,8
